year,total_emissions
1960,780726.302
1961,552066.85
1962,440359.029
1963,436695.696
1964,436923.05
1965,475972.933
1966,522789.522
1967,433234.048
1968,468928.626
1969,577237.138
1970,771617.474
1971,876633.02
1972,931575.681
1973,968542.708
1974,988014.478
1975,1145607.47
1976,1196193.735
1977,1310310.775
1978,1462168.579
1979,1494859.884
1980,1467192.369
1981,1451501.276
1982,1580260.647
1983,1667029.201
1984,1814908.31
1985,1966553.428
1986,2068969.071
1987,2209708.531
1988,2369501.723
1989,2408540.605
1990,2173360.0
1991,2302180.0
1992,2418180.0
1993,2645410.0
1994,2767670.0
1995,3088620.0
1996,3070510.0
1997,3134110.0
1998,3236280.0
1999,3153660.0
2000,3346530.0
2001,3529080.0
2002,3810060.05859375
2003,4415910.15625
2004,5124819.82421875
2005,5824629.8828125
2006,6437470.21484375
2007,6993180.17578125
2008,7199600.09765625
2009,7719069.82421875
2010,8474919.921875
2011,9282549.8046875
2012,9541870.1171875
2013,9984570.3125
2014,10006669.921875
2015,9861099.609375
2016,9874660.15625
2017,10096009.765625
2018,10502929.6875
2019,10707219.7265625
