year,total_emissions
1990,955310.0
1991,932550.0
1992,892820.0
1993,887060.0
1994,875900.0
1995,874660.0
1996,904340.0
1997,872650.0
1998,865250.0
1999,833590.0
2000,830280.0
2001,847680.0
2002,833380.004882813
2003,836789.978027344
2004,821070.007324219
2005,802380.004882813
2006,814409.973144531
2007,783799.987792969
2008,789690.002441406
2009,734809.997558594
2010,773070.007324219
2011,746479.98046875
2012,760130.004882813
2013,776150.024414063
2014,736010.009765625
2015,742309.997558594
2016,747150.024414063
2017,732200.012207031
2018,707700.012207031
2019,657400.024414063
