year,total_emissions
1960,37392.399
1961,36541.655
1962,37462.072
1963,41341.758
1964,47560.99
1965,53765.554
1966,64161.499
1967,67942.176
1968,82404.824
1969,83116.222
1970,91873.018
1971,101722.58
1972,106115.646
1973,129595.447
1974,143911.415
1975,139349.667
1976,156643.239
1977,163969.905
1978,162470.102
1979,164028.577
1980,120900.99
1981,112899.596
1982,138007.545
1983,149785.949
1984,150658.695
1985,160768.614
1986,148399.823
1987,159573.172
1988,176115.009
1989,191204.714
1990,198470.0
1991,219100.0
1992,233650.0
1993,236730.0
1994,266690.0
1995,271520.0
1996,279810.0
1997,292400.0
1998,290990.0
1999,323360.0
2000,340450.0
2001,354070.0
2002,369869.995117188
2003,389769.989013672
2004,417660.003662109
2005,450790.008544922
2006,484179.992675781
2007,514140.014648438
2008,523049.987792969
2009,542289.978027344
2010,541169.982910156
2011,552049.987792969
2012,559119.995117188
2013,583700.012207031
2014,605349.975585938
2015,599179.992675781
2016,607210.021972656
2017,626419.982910156
2018,637429.992675781
2019,630010.009765625
