year,total_emissions
1960,1448637.349
1961,1493932.133
1962,1567950.528
1963,1681524.852
1964,1788304.225
1965,1897052.777
1966,2003392.11
1967,2094843.423
1968,2153698.773
1969,2242938.885
1970,2359142.448
1971,2503944.944
1972,2634955.853
1973,2746751.682
1974,2851891.906
1975,2998311.549
1976,3113979.73
1977,3220146.714
1978,3330904.782
1979,3358623.635
1980,3491017.003
1981,3425062.341
1982,3489821.561
1983,3539850.442
1984,3571709.338
1985,3851989.149
1986,3862509.772
1987,3847244.051
1988,3950345.423
1989,3862616.115
1990,2163530.0
1991,2136440.0
1992,2030810.0
1993,1880250.0
1994,1685050.0
1995,1635490.0
1996,1601180.0
1997,1489510.0
1998,1487970.0
1999,1523720.0
2000,1563850.0
2001,1567170.0
2002,1565339.96582031
2003,1610000.0
2004,1600979.98046875
2005,1611979.98046875
2006,1654849.97558594
2007,1658150.02441406
2008,1655189.94140625
2009,1546670.04394531
2010,1617829.95605469
2011,1699089.96582031
2012,1675760.00976563
2013,1632680.05371094
2014,1611959.9609375
2015,1592560.05859375
2016,1571520.01953125
2017,1594550.04882813
2018,1661000.0
2019,1703589.96582031
