year,total_emissions
1960,2890696.1
1961,2880505.507
1962,2987207.873
1963,3119230.874
1964,3255995.306
1965,3390922.571
1966,3561878.111
1967,3695708.943
1968,3831354.94
1969,4024748.853
1970,4328904.501
1971,4356770.034
1972,4564952.958
1973,4770194.948
1974,4598487.673
1975,4406329.539
1976,4613100.668
1977,4742292.745
1978,4890861.25
1979,4901796.244
1980,4723209.677
1981,4535800.308
1982,4306748.487
1983,4341878.347
1984,4475192.132
1985,4492555.377
1986,4495463.308
1987,4688373.177
1988,4892526.068
1989,4955081.421
1990,4844520.0
1991,4807500.0
1992,4879630.0
1993,4995210.0
1994,5066810.0
1995,5117040.0
1996,5273490.0
1997,5543350.0
1998,5590540.0
1999,5609020.0
2000,5775810.0
2001,5748260.0
2002,5593029.78515625
2003,5658990.234375
2004,5738290.0390625
2005,5753490.234375
2006,5653080.078125
2007,5736319.82421875
2008,5558379.8828125
2009,5156430.17578125
2010,5392109.86328125
2011,5173600.09765625
2012,4956060.05859375
2013,5092100.09765625
2014,5107209.9609375
2015,4990709.9609375
2016,4894500.0
2017,4819370.1171875
2018,4975310.05859375
2019,4817720.21484375
