date_string,eur_to_usd,gbp_to_usd
"Monday, Jan 04, 1999",1.6581,1.1812
"Tuesday, Jan 05, 1999",1.6566,1.176
"Wednesday, Jan 06, 1999",1.6547,1.1636
"Thursday, Jan 07, 1999",1.6495,1.1672
"Friday, Jan 08, 1999",1.6405,1.1554
"Monday, Jan 11, 1999",1.6375,1.1534
"Tuesday, Jan 12, 1999",1.6308,1.1548
"Wednesday, Jan 13, 1999",1.6493,1.1698
"Thursday, Jan 14, 1999",1.653,1.1689
"Friday, Jan 15, 1999",1.65,1.1591
"Monday, Jan 18, 1999",,
"Tuesday, Jan 19, 1999",1.655,1.161
"Wednesday, Jan 20, 1999",1.6467,1.1575
"Thursday, Jan 21, 1999",1.6516,1.1577
"Friday, Jan 22, 1999",1.656,1.1582
"Monday, Jan 25, 1999",1.6563,1.1566
"Tuesday, Jan 26, 1999",1.6585,1.1577
"Wednesday, Jan 27, 1999",1.6485,1.1481
"Thursday, Jan 28, 1999",1.647,1.1395
"Friday, Jan 29, 1999",1.6457,1.1371
"Monday, Feb 01, 1999",1.641,1.1303
"Tuesday, Feb 02, 1999",1.643,1.1328
"Wednesday, Feb 03, 1999",1.6375,1.1339
"Thursday, Feb 04, 1999",1.6395,1.1306
"Friday, Feb 05, 1999",1.637,1.1283
"Monday, Feb 08, 1999",1.638,1.1296
"Tuesday, Feb 09, 1999",1.6355,1.13
"Wednesday, Feb 10, 1999",1.629,1.1331
"Thursday, Feb 11, 1999",1.6244,1.1303
"Friday, Feb 12, 1999",1.6311,1.1282
"Monday, Feb 15, 1999",,
"Tuesday, Feb 16, 1999",1.6317,1.1189
"Wednesday, Feb 17, 1999",1.6338,1.123
"Thursday, Feb 18, 1999",1.6338,1.1223
"Friday, Feb 19, 1999",1.6255,1.1075
"Monday, Feb 22, 1999",1.6238,1.1037
"Tuesday, Feb 23, 1999",1.6138,1.0993
"Wednesday, Feb 24, 1999",1.598,1.0972
"Thursday, Feb 25, 1999",1.606,1.1068
"Friday, Feb 26, 1999",1.6027,1.0995
"Monday, Mar 01, 1999",1.6058,1.0891
"Tuesday, Mar 02, 1999",1.6135,1.0931
"Wednesday, Mar 03, 1999",1.6134,1.0888
"Thursday, Mar 04, 1999",1.6065,1.0824
"Friday, Mar 05, 1999",1.6073,1.0843
"Monday, Mar 08, 1999",1.6085,1.0899
"Tuesday, Mar 09, 1999",1.6148,1.0873
"Wednesday, Mar 10, 1999",1.6267,1.0961
"Thursday, Mar 11, 1999",1.627,1.0932
"Friday, Mar 12, 1999",1.6335,1.0936
"Monday, Mar 15, 1999",1.6223,1.093
"Tuesday, Mar 16, 1999",1.624,1.0915
"Wednesday, Mar 17, 1999",1.6302,1.1015
"Thursday, Mar 18, 1999",1.629,1.099
"Friday, Mar 19, 1999",1.6303,1.0923
"Monday, Mar 22, 1999",1.628,1.0915
"Tuesday, Mar 23, 1999",1.6372,1.0918
"Wednesday, Mar 24, 1999",1.641,1.0921
"Thursday, Mar 25, 1999",1.6314,1.0871
"Friday, Mar 26, 1999",1.6205,1.0743
"Monday, Mar 29, 1999",1.614,1.0716
"Tuesday, Mar 30, 1999",1.6115,1.0732
"Wednesday, Mar 31, 1999",1.614,1.0808
"Thursday, Apr 01, 1999",1.6063,1.0782
"Friday, Apr 02, 1999",1.6023,1.0782
"Monday, Apr 05, 1999",1.6015,1.0706
"Tuesday, Apr 06, 1999",1.592,1.0838
"Wednesday, Apr 07, 1999",1.5975,1.0784
"Thursday, Apr 08, 1999",1.6083,1.0835
"Friday, Apr 09, 1999",1.6068,1.0786
"Monday, Apr 12, 1999",1.6127,1.0842
"Tuesday, Apr 13, 1999",1.6135,1.078
"Wednesday, Apr 14, 1999",1.6124,1.0779
"Thursday, Apr 15, 1999",1.6103,1.0717
"Friday, Apr 16, 1999",1.6112,1.0688
"Monday, Apr 19, 1999",1.6075,1.0608
"Tuesday, Apr 20, 1999",1.6135,1.063
"Wednesday, Apr 21, 1999",1.6074,1.0612
"Thursday, Apr 22, 1999",1.6117,1.0598
"Friday, Apr 23, 1999",1.617,1.0634
"Monday, Apr 26, 1999",1.6113,1.059
"Tuesday, Apr 27, 1999",1.6177,1.0649
"Wednesday, Apr 28, 1999",1.6148,1.0616
"Thursday, Apr 29, 1999",1.6105,1.0591
"Friday, Apr 30, 1999",1.6085,1.0564
"Monday, May 03, 1999",1.6083,1.0571
"Tuesday, May 04, 1999",1.621,1.0593
"Wednesday, May 05, 1999",1.6337,1.0724
"Thursday, May 06, 1999",1.6377,1.0779
"Friday, May 07, 1999",1.635,1.0781
