year,total_emissions
1960,120581.961
1961,130402.187
1962,143467.708
1963,154083.673
1964,150647.694
1965,165972.087
1966,171765.947
1967,172238.99
1968,187336.029
1969,190724.337
1970,195143.072
1971,205869.047
1972,217849.136
1973,224343.393
1974,231992.755
1975,252201.592
1976,263785.645
1977,279051.366
1978,283096.067
1979,296891.321
1980,314016.211
1981,338838.134
1982,349637.449
1983,378669.088
1984,388118.947
1985,426673.785
1986,457571.927
1987,488481.07
1988,527563.956
1989,579008.299
1990,563580.0
1991,607230.0
1992,626290.0
1993,651350.0
1994,685900.0
1995,737860.0
1996,774070.0
1997,819270.0
1998,836270.0
1999,901330.0
2000,937860.0
2001,953540.0
2002,985450.012207031
2003,1011770.01953125
2004,1085670.04394531
2005,1136469.97070313
2006,1215209.9609375
2007,1336739.99023438
2008,1424380.00488281
2009,1564880.00488281
2010,1659979.98046875
2011,1756739.99023438
2012,1909439.94140625
2013,1972430.05371094
2014,2147110.10742188
2015,2158020.01953125
2016,2195250.0
2017,2320409.91210938
2018,2451929.93164063
2019,2456300.04882813
