year,total_emissions
1960,232781.16
1961,283118.069
1962,293220.654
1963,325222.563
1964,359318.329
1965,386919.838
1966,419743.155
1967,489881.864
1968,562565.471
1969,653958.112
1970,768823.22
1971,797543.164
1972,853373.239
1973,915748.909
1974,915873.587
1975,870072.757
1976,908902.62
1977,935213.345
1978,903886.164
1979,955620.2
1980,947571.135
1981,929606.502
1982,900200.829
1983,883838.675
1984,940130.792
1985,915396.877
1986,915334.538
1987,905734.332
1988,989081.575
1989,1025549.89
1990,1090530.0
1991,1103980.0
1992,1115060.0
1993,1107610.0
1994,1160780.0
1995,1171010.0
1996,1184670.0
1997,1172630.0
1998,1130310.0
1999,1165320.0
2000,1182610.0
2001,1170380.0
2002,1206599.97558594
2003,1214949.95117188
2004,1209849.97558594
2005,1212819.94628906
2006,1189520.01953125
2007,1225069.94628906
2008,1158219.97070313
2009,1100979.98046875
2010,1156479.98046875
2011,1213520.01953125
2012,1253609.98535156
2013,1262780.02929688
2014,1217119.99511719
2015,1179439.94140625
2016,1167790.0390625
2017,1155229.98046875
2018,1116150.02441406
2019,1081569.94628906
