year,total_emissions
1960,12552.141
1961,14462.648
1962,17278.904
1963,21103.585
1964,22218.353
1965,25005.273
1966,30014.395
1967,35151.862
1968,37242.052
1969,42522.532
1970,53783.889
1971,58616.995
1972,60336.818
1973,73094.311
1974,75686.88
1975,81829.105
1976,93306.815
1977,105712.276
1978,113405.642
1979,133211.109
1980,134868.593
1981,139742.036
1982,141905.566
1983,150904.384
1984,163911.233
1985,178333.544
1986,182451.585
1987,192660.513
1988,221959.843
1989,235846.772
1990,247680.0
1991,274790.0
1992,297050.0
1993,327600.0
1994,354280.0
1995,385410.0
1996,409990.0
1997,431640.0
1998,366570.0
1999,401880.0
2000,456660.0
2001,471530.0
2002,463000.0
2003,465700.012207031
2004,485910.003662109
2005,481000.0
2006,487850.006103516
2007,503690.002441406
2008,514919.982910156
2009,526640.014648438
2010,575219.970703125
2011,598479.98046875
2012,600320.007324219
2013,599599.975585938
2014,588090.026855469
2015,607830.017089844
2016,615880.004882813
2017,626630.004882813
2018,630640.014648438
2019,610789.978027344
