year,total_emissions
1960,2676.91
1961,3571.658
1962,6255.902
1963,6945.298
1964,7047.974
1965,4220.717
1966,6413.583
1967,25507.652
1968,29104.979
1969,35302.209
1970,45291.117
1971,59808.77
1972,70344.061
1973,95136.648
1974,98788.98
1975,83336.242
1976,101550.231
1977,118176.409
1978,115132.799
1979,138135.89
1980,169404.399
1981,175491.619
1982,158091.704
1983,161050.973
1984,155715.488
1985,172653.361
1986,204878.957
1987,190706.002
1988,202554.079
1989,203738.52
1990,171410.0
1991,187930.0
1992,202040.0
1993,203260.0
1994,206360.0
1995,204830.0
1996,217650.0
1997,220070.0
1998,233900.0
1999,239520.0
2000,249660.0
2001,254090.0
2002,272250.0
2003,284829.986572266
2004,299890.014648438
2005,315290.008544922
2006,335440.002441406
2007,354619.995117188
2008,389720.001220703
2009,406529.998779297
2010,446130.004882813
2011,463769.989013672
2012,492470.001220703
2013,503209.991455078
2014,540520.01953125
2015,565190.002441406
2016,561229.98046875
2017,545070.007324219
2018,521260.009765625
2019,523780.029296875
