"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,4,1,555,600,-5,825,830,-5,"DL",461,"N659DL","LGA","ATL",112,762,6,0,2013-04-01 06:00:00
2013,4,1,557,600,-3,745,800,-15,"DL",731,"N316NB","LGA","DTW",89,502,6,0,2013-04-01 06:00:00
2013,4,1,610,610,0,759,816,-17,"DL",1919,"N335NW","LGA","MSP",149,1020,6,10,2013-04-01 06:00:00
2013,4,1,612,615,-3,831,844,-13,"DL",1743,"N308DE","JFK","ATL",114,760,6,15,2013-04-01 06:00:00
2013,4,1,625,630,-5,855,901,-6,"DL",2057,"N664DN","LGA","ATL",119,762,6,30,2013-04-01 06:00:00
2013,4,1,626,629,-3,846,849,-3,"DL",575,"N369NB","EWR","ATL",116,746,6,29,2013-04-01 06:00:00
2013,4,1,643,645,-2,857,907,-10,"DL",2006,"N327NB","LGA","MSY",176,1183,6,45,2013-04-01 06:00:00
2013,4,1,653,700,-7,1011,1009,2,"DL",2003,"N932DL","LGA","MIA",161,1096,7,0,2013-04-01 07:00:00
2013,4,1,654,700,-6,916,931,-15,"DL",1547,"N665DN","LGA","ATL",116,762,7,0,2013-04-01 07:00:00
2013,4,1,656,700,-4,1035,1030,5,"DL",763,"N727TW","JFK","LAX",356,2475,7,0,2013-04-01 07:00:00
2013,4,1,657,700,-3,1011,1027,-16,"DL",1415,"N690DL","JFK","SLC",286,1990,7,0,2013-04-01 07:00:00
2013,4,1,658,700,-2,1032,1044,-12,"DL",1865,"N705TW","JFK","SFO",360,2586,7,0,2013-04-01 07:00:00
2013,4,1,659,705,-6,1020,1012,8,"DL",1879,"N947DL","LGA","FLL",174,1076,7,5,2013-04-01 07:00:00
2013,4,1,659,705,-6,948,951,-3,"DL",2285,"N692DL","LGA","MCO",138,950,7,5,2013-04-01 07:00:00
2013,4,1,710,715,-5,904,918,-14,"DL",831,"N997DL","LGA","DTW",87,502,7,15,2013-04-01 07:00:00
2013,4,1,740,745,-5,1036,1100,-24,"DL",183,"N706TW","JFK","SEA",329,2422,7,45,2013-04-01 07:00:00
