"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,3,1,558,600,-2,750,759,-9,"DL",731,"N316US","LGA","DTW",90,502,6,0,2013-03-01 06:00:00
2013,3,1,600,600,0,848,837,11,"DL",461,"N666DN","LGA","ATL",117,762,6,0,2013-03-01 06:00:00
2013,3,1,609,615,-6,759,825,-26,"DL",1919,"N972DL","LGA","MSP",148,1020,6,15,2013-03-01 06:00:00
2013,3,1,611,615,-4,838,842,-4,"DL",575,"N341NB","EWR","ATL",115,746,6,15,2013-03-01 06:00:00
2013,3,1,624,630,-6,857,859,-2,"DL",1899,"N302NB","LGA","MSY",187,1183,6,30,2013-03-01 06:00:00
2013,3,1,652,700,-8,1016,1019,-3,"DL",2003,"N999DN","LGA","MIA",165,1096,7,0,2013-03-01 07:00:00
2013,3,1,653,655,-2,955,1029,-34,"DL",1415,"N660DL","JFK","SLC",270,1990,6,55,2013-03-01 06:00:00
2013,3,1,656,700,-4,1018,953,25,"DL",2285,"N336NW","LGA","MCO",165,950,7,0,2013-03-01 07:00:00
2013,3,1,656,700,-4,1003,1014,-11,"DL",1879,"N330NW","LGA","FLL",163,1076,7,0,2013-03-01 07:00:00
2013,3,1,657,700,-3,953,1034,-41,"DL",763,"N712TW","JFK","LAX",326,2475,7,0,2013-03-01 07:00:00
2013,3,1,657,659,-2,931,938,-7,"DL",1547,"N674DL","LGA","ATL",114,762,6,59,2013-03-01 06:00:00
2013,3,1,658,700,-2,1102,1045,17,"DL",1865,"N722TW","JFK","SFO",395,2586,7,0,2013-03-01 07:00:00
2013,3,1,719,720,-1,908,928,-20,"DL",831,"N915DE","LGA","DTW",89,502,7,20,2013-03-01 07:00:00
2013,3,1,725,730,-5,949,1004,-15,"DL",807,"N338NB","EWR","ATL",112,746,7,30,2013-03-01 07:00:00
