"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,5,1,554,600,-6,731,756,-25,"DL",731,"N327NB","LGA","DTW",74,502,6,0,2013-05-01 06:00:00
2013,5,1,555,600,-5,819,827,-8,"DL",461,"N644DL","LGA","ATL",112,762,6,0,2013-05-01 06:00:00
2013,5,1,603,610,-7,754,809,-15,"DL",1919,"N970DL","LGA","MSP",141,1020,6,10,2013-05-01 06:00:00
2013,5,1,622,630,-8,848,844,4,"DL",575,"N359NB","EWR","ATL",114,746,6,30,2013-05-01 06:00:00
2013,5,1,634,635,-1,900,905,-5,"DL",1743,"N916DE","JFK","ATL",115,760,6,35,2013-05-01 06:00:00
2013,5,1,654,700,-6,931,950,-19,"DL",2285,"N370NW","LGA","MCO",123,950,7,0,2013-05-01 07:00:00
2013,5,1,655,700,-5,944,1007,-23,"DL",2003,"N904DL","LGA","MIA",144,1096,7,0,2013-05-01 07:00:00
2013,5,1,656,705,-9,1005,1011,-6,"DL",1879,"N362NW","LGA","FLL",151,1076,7,5,2013-05-01 07:00:00
2013,5,1,658,700,-2,1016,1016,0,"DL",1415,"N389DA","JFK","SLC",274,1990,7,0,2013-05-01 07:00:00
2013,5,1,658,700,-2,925,928,-3,"DL",1547,"N985DL","LGA","ATL",113,762,7,0,2013-05-01 07:00:00
2013,5,1,700,700,0,1008,1034,-26,"DL",1865,"N624AG","JFK","SFO",334,2586,7,0,2013-05-01 07:00:00
2013,5,1,721,700,21,1007,1011,-4,"DL",763,"N722TW","JFK","LAX",308,2475,7,0,2013-05-01 07:00:00
2013,5,1,739,745,-6,1015,1046,-31,"DL",183,"N3754A","JFK","SEA",311,2422,7,45,2013-05-01 07:00:00
2013,5,1,743,745,-2,1014,1004,10,"DL",807,"N999DN","EWR","ATL",107,746,7,45,2013-05-01 07:00:00
2013,5,1,755,800,-5,929,1001,-32,"DL",2245,"N315NB","EWR","MSP",133,1008,8,0,2013-05-01 08:00:00
2013,5,1,756,800,-4,953,1017,-24,"DL",715,"N360NB","LGA","MSY",155,1183,8,0,2013-05-01 08:00:00
2013,5,1,756,759,-3,1019,1028,-9,"DL",2047,"N676DL","LGA","ATL",111,762,7,59,2013-05-01 07:00:00
2013,5,1,803,805,-2,1052,1102,-10,"DL",1109,"N914DL","LGA","TPA",140,1010,8,5,2013-05-01 08:00:00
2013,5,1,804,715,49,941,912,29,"DL",831,"N328NW","LGA","DTW",74,502,7,15,2013-05-01 07:00:00
2013,5,1,805,805,0,1103,1103,0,"DL",2395,"N355NW","LGA","PBI",147,1035,8,5,2013-05-01 08:00:00
